Name,Ticker,"Sub-Sector","Market Cap","Total Cash Dividend Paid","Net Change in Cash","Change in Working Capital","Free Cash Flow","Operating Cash Flow","Financing Cash Flow","Capital Expenditure","Book Value","Total Liabilities","Total Receivables","Total Assets","Long Term Debt","Investing Cash Flow","Accounts Payable","Additional Paid–in Capital","Share Capital","Cash and Equivalent","Deferred Tax Liabilities (Net)","Deferred Tax Assets (Net)","Long Term Investments","Goodwill & Intangibles","Total Current Assets","Total Current Liabilities","Common Shares Outstanding","Total Debt","Total Deposits – Banks","Total Equity","Total Inventory","Other Liabilities","Reserves & Surplus","Other Assets","Other Current Liabilities","Other Current Assets","Net Property,Plant & Equipment","Loans & Advances","Non Current Liabilties","Non Current Assets","Minority Interest"
Excel Realty N Infra Ltd,EXCEL,"Construction & Engineering","70.53475275","0","0.42999999999999994","4.35","0.73","0.73","-0.26","0","168.42000000000002","10.71999999999998","7.64","179.14","0.19999999999999998","-0.04","7.66","0.3","94.05","1.79","0.47",,"0","0","50.44","10.059999999999999","141.90548338959297","0.29",,"168.42000000000002","0.23","-0.010000000000019327","74.07000000000001","109.99","2.3999999999999986","40.78","18.71",,"0.6599999999999806","128.7","0"
Metal Coatings (India) Ltd,METALCO,"Iron & Steel","70.33728","0","-5.16","-8.86","-5.609999999999999","-5.6","0.09","0.01","33.97","15.470000000000004","27.59","49.440000000000005","0","0.35","0.29","1.36","7.33","0.32",,"0.51","0","0","44.24","13.18","0.73268","9.73",,"33.97","11.38","2.290000000000004","25.28","0.12","12.89","4.95","4.570000000000002",,"2.290000000000004","5.200000000000002",
Raminfo Ltd,RAMINFO,"Software Services","70.2246744","0.33","8.040000000000001","-7.959999999999999","4.75","7.19","0.76","2.44","26.39","70.93999999999998","44.42","97.32999999999998","0.33","0.09","51.99","1.73","6.71","26.43",,"3.11","1.13","0","85.69999999999999","70.38","0.671364","3.19",,"26.39","0.63","0.22999999999999488","16.74","0.14","18.389999999999993","14.219999999999999","7.249999999999999",,"0.559999999999995","11.629999999999999","0"
Mehta Housing Finance Ltd,MEHTAHG,"Investment Banking & Brokerage","70.028723341681","0","0.4700000000000002","2.57","2.47","2.47","0","0","5.250000000000001","0.22","0.46","5.47","0","-2","0","3.41","3.08","0.47",,,"2","0","3.4699999999999998","0.22","0.3082","0.06",,"5.25","0","0","-1.2400000000000002","0","0.22","2.54","0","0","0","2",
SecMark Consultancy Ltd,SECMARK,,"70.000875","0","3.3306690738754696e-16","-0.4299999999999998","-7.43","3.75","0.35","11.18","23.5","3.6800000000000024","1.46","27.180000000000003","0","-4.1","1.13","13.93","4.15","0.02","0.51",,"0.89","0","2.98","3.0100000000000002","1.03705","1.25",,"23.5","0","0.160000000000002","5.420000000000002","11.45","1.8800000000000003","1.5","11.860000000000001",,"0.670000000000002","24.200000000000003","0"
MM Rubber Company Ltd,MMRUBBR-B,"Home Furnishing","69.85041801","0","-0.010000000000000009","-0.53","0.44999999999999996","1.92","-0.51","1.47","13.030000000000001","9.21","2.72","22.240000000000002","0.040000000000000036","-1.42","2.23","7.5","1.25","0.47","1.99",,"0","0","9.120000000000001","7.18","0.6231","3.59",,"13.03","5.05","0","4.279999999999999","0.48","4.949999999999999","0.88","12.64",,"2.0300000000000002","13.120000000000001",
Hindcon Chemicals Ltd,HINDCON,"Commodity Chemicals","69.700347125","1.93","-4.260000000000001","-9.990000000000002","-4.98","-4.44","-1.7","0.54","39.60000000000001","13.019999999999992","26.36","52.62","0","1.88","7.9","6.35","7.67","5.44",,"0.34","3.21","0","46.309999999999995","12.99","0.7672025","1.24",,"39.6","3.57","0.029999999999992893","25.119999999999997","1.04","5.09","10.94","1.72",,"0.029999999999992893","6.31","0.46"
W H Brady & Company Ltd,WHBRADY,"Heavy Machinery","69.615","0","0.7","-3.12","4.34","4.62","-1.59","0.28","48.209999999999994","28.230000000000004","15.32","76.44","0.2799999999999998","-2.33","7.26","0","2.55","10.95","0.15",,"12.45","0","50.91","20.23","0.255","5.9399999999999995",,"48.209999999999994","12.36","7.570000000000004","42.94","0.67","12.97","12.28","12.41",,"8.000000000000004","25.53","2.72"
Panache Digilife Ltd,PANACHE,"Technology Hardware","69.6","0","6.659999999999999","0.6099999999999992","7.17","7.27","-6.22","0.1","30.429999999999993","66.49","31.52","96.91999999999999","4.850000000000001","5.61","14.62","6.78","12","0.91","0.03",,"0.01","0","86.52","60.91999999999999","1.2","24.100000000000005",,"30.43","26.35","0.6900000000000103","11.649999999999999","0.2","46.29999999999999","27.74","10.19",,"5.570000000000012","10.399999999999999","0"
Sumedha Fiscal Services Ltd,SUMEDHA,"Investment Banking & Brokerage","69.54433304","0.8","1.0599999999999996","-0.8099999999999999","3.42","4.42","-0.87","1","50.31","2.06","2.26","52.370000000000005","0.03","-2.49","0","2.57","7.98","7.79","1.45",,"11.12","0","27.400000000000002","0.5800000000000001","0.7984424","0.03",,"50.31","13.05","0","39.76","0","0.5800000000000001","4.3","13.850000000000001","0","1.48","24.97","0"
Nidan Laboratories & Healthcare Ltd,NIDAN,"Hospitals & Diagnostic Centres","69.1525","0","0.8099999999999952","-1.23","0.7599999999999998","7.83","28.72","7.07","65.9","22.569999999999997","5.36","88.47","9.41","-35.74","1.15","45.91","13.9","8.1",,"0.45","29.54","0","24.28","12.790000000000001","1.39","19.29",,"65.9","0.22","0.3699999999999949","6.090000000000003","9.93","11.64","10.600000000000001","24.27",,"9.779999999999996","64.19",
Lorenzini Apparels Ltd,LAL,,"68.9446288","0","-0.31000000000000005","-1.01","-0.29000000000000004","0.27","-0.03","0.56","11.810000000000002","15.689999999999994","5.45","27.499999999999996","4.010000000000001","-0.55","5.91","0.13","10.14","0.37",,"0.11","0.32","0","23.9","11.68","1.0138916","8.940000000000001",,"11.810000000000002","16.25","-7.105427357601002e-15","1.54","0.87","5.77","1.8299999999999998","2.2999999999999994",,"4.009999999999994","3.599999999999999",
Machino Plastics Ltd,MACPLASQ,"Auto Parts","68.854896","0","1.8800000000000008","2.0800000000000005","16.83","18.68","-14.4","1.85","49.120000000000005","123.06","36.88","172.18","26.550000000000004","-2.4","13.84","0","6.14","2.28","1.67",,"1.25","0","63.510000000000005","94.8","0.61368","94.3",,"49.12","19.71","0.04","42.98","1.86","80.96","4.640000000000001","105.56",,"28.260000000000005","108.67",
Aakash Exploration Services Ltd,AAKASH,"Oil & Gas - Equipment & Services","68.85","0","-0.8899999999999997","-6.169999999999999","-0.5999999999999996","9.73","-3.49","10.33","47.74999999999999","23.099999999999994","21.23","70.85","3.2","-7.13","2.93","13.98","10.13","0.34","0.68",,"0","0","23.59","18.86","10.125","16.049999999999997",,"47.75","0","0.3599999999999949","23.639999999999997","1.24","15.93","2.02","46.019999999999996",,"4.239999999999995","47.26",
Globe Textiles (India) Ltd,GLOBE,"Textiles","68.7693825","0","0.08000000000000007","-24.779999999999998","-9.110000000000001","-8.72","9.14","0.39","49.74000000000001","209.03999999999996","124.44","258.78","18.29","-0.34","73.24","0","30.23","0.15","0.84",,"0","0","225.15","188.69","15.11415","90.74",,"49.74","85.25","1.2199999999999818","17.76","2.33","115.45","15.31","31.299999999999997",,"20.34999999999998","33.629999999999995",
Pace E-Commerce Ventures Ltd,PACE,,"68.7272055","0","-0.009999999999999787","-3.3699999999999997","-2.48","-2.45","2.47","0.03","26.5","5.910000000000004","2.81","32.410000000000004","3.1399999999999997","-0.03","2.05","7.5","18.32","0.14",,,"0.01","0","6.68","2.79","1.831897","3.63",,"26.5","1.92","-0.01999999999999602","0.6799999999999997","3.17","0.7400000000000002","1.81","22.55",,"3.1200000000000037","25.730000000000004",
Uma Converter Ltd,UMA,"Packaging","68.52708668","0","-0.6200000000000001","-14.329999999999998","-4.65","2.25","3.95","6.9","48.120000000000005","103.30000000000001","14.91","151.42000000000002","35.71","-6.82","23.17","6.25","14.69","1.27","3.55",,"0.24","0","82.92","63.7","1.4694286","74.31",,"48.12","62.16","0.34000000000001024","27.18","3.28","40.53","4.58","64.98",,"39.60000000000001","68.5",
Captain Technocast Ltd,CTCL,"Industrial Machinery","68.407335","0.41","0","-4.289999999999999","0.79","1.49","-0.77","0.7","17.680000000000003","23.09","19.03","40.77","1.98","-0.72","12.79","0","10.21","0.26",,"0.17","0.23","0","29.600000000000005","21.11","1.021005","8.379999999999999",,"17.680000000000003","8.62","0","7.17","1.01","8.32","1.6900000000000002","9.759999999999998",,"1.98","11.169999999999998","0.3"
Ajooni Biotech Ltd,AJOONI,"Pharmaceuticals","68.379814985","0","-0.18999999999999972","0.5499999999999998","1.56","3.68","-1.97","2.12","16.39","12.619999999999997","13.84","29.009999999999998","2.579999999999999","-1.9","6.8","3.01","10.01","0.06",,"0.18","0.7","0","21.93","10.049999999999999","5.672924860032","5.35",,"16.39","5.88","-0.010000000000001563","3.37","0","3.249999999999999","2.15","6.199999999999999",,"2.5699999999999976","7.079999999999999",
Trescon Ltd,TRESCON,"Real Estate","68.137404","0","-0.36999999999999944","-22.400000000000002","-23.16","-23.16","-0.01","0","104.44999999999999","1.4800000000000193","0.16","105.93","0","22.8","0.22","23.8","70.77","22.220000000000002","0.47",,"28.15","0","75.55000000000001","1","7.048666","0.68",,"104.44999999999999","0","0.010000000000019327","9.879999999999999","1.86","0.78","53.17","0.3699999999999999",,"0.4800000000000193","30.38",
SE Power Ltd,SEPOWER,"Renewable Energy","68.02175","0","0.9699999999999998","-1.23","-4.38","2.38","5.34","6.76","7.710000000000008","87.8","6.22","95.51","78.24000000000001","-6.75","3.63","0","40.61","1.5",,"12.59","0.47","0.1125725","15.299999999999997","9.56","4.061","83.81",,"7.710000000000001","3.59","-1.4210854715202004e-14","-32.9","0.03","5.930000000000001","3.9899999999999984","67.0074275",,"78.24","80.21000000000001","0"
Deccan Health Care Ltd,DECCAN,"FMCG - Personal Products","67.831936","0","-0.55","-2.7399999999999998","-0.6799999999999999","-0.57","0.07","0.11","76.94","13.68","12.82","90.62","0.9600000000000001","-0.05","5.81","53.74","15.71","2.67","2.1",,"0","0","67.95","10.479999999999999","1.571343","1.25",,"76.94","46.5","0.14","7.489999999999995","4.14","4.669999999999999","5.96","18.53",,"3.2","22.67","0"
Keltech Energies Ltd,KELENRG,"Commodity Chemicals","67.79","0.15","-0.6499999999999995","-2.2000000000000015","-2.710000000000001","13.59","1.87","16.3","70.34","107.12999999999997","46.22","177.46999999999997","12.059999999999999","-16.11","56.21","0","1","13.66","2.12",,"0","0.218","100.11999999999999","87.42999999999999","0.09999","30.609999999999996",,"70.34","36.19","5.519999999999981","69.34","6.91","31.21999999999999","4.05","70.222",,"19.69999999999998","77.35",
Ecoboard Industries Ltd,ECOBOAR,"Building Products - Laminates","67.67244","0","-3.5999999999999988","-8.81","-8.28","-6.21","-8.11","2.07","17.15","45.31","7.44","62.46","21.05","10.72","3.65","26.19","17.83","0.05",,,"0","0","36.82","23.630000000000003","1.7832","24.430000000000003",,"17.149999999999995","19.27","0.6300000000000031","-26.87","1.88","19.980000000000004","10.06","23.76",,"21.680000000000003","25.64",
GKB Ophthalmics Ltd,GKB,"Health Care Equipment & Supplies","67.4933662","0","-0.10999999999999965","-0.4000000000000001","0.3100000000000005","5.07","-1.66","4.76","67.42000000000002","42.739999999999995","19.51","110.16000000000001","1.620000000000001","-3.52","25.71","20.02","5.04","16.4","0.16",,"1.97","0","75.54","39.64","0.50406","11.76",,"67.42000000000002","37.7","1.319999999999995","38.040000000000006","6.59","13.93","1.93","26.060000000000002",,"3.099999999999996","34.620000000000005","4.32"
RDB Realty & Infrastructure Ltd,RDBRIL,"Real Estate","67.491677","0","-0.030000000000001137","-162.45000000000002","-155.23000000000002","-154.9","160.22","0.33","161.68000000000006","733.1999999999999","7.77","894.88","63.81","-5.35","17.63","35.21","17.28","7.54",,"0.2","20.26","0","869.75","648.85","1.72834","466.05",,"161.68","761.74","20.539999999999903","100.07","4","631.22","92.7","0.6699999999999999",,"84.34999999999991","25.13","9.12"
Cinevista Ltd,CINEVISTA,"Movies & TV Serials","67.487858125","0","0.2900000000000009","-2.4799999999999995","-6.699999999999999","-4.77","6.69","1.93","117.62000000000002","68.00999999999999","6.96","185.63","63.370000000000005","-1.63","3.96","75.08","11.78","0.51",,"1.7400000000000002","0.03","0","72.71","4.630000000000001","5.7731855","63.370000000000005",,"117.62","64.47","0.009999999999990905","30.760000000000005","0.04","0.6700000000000008","0.77","111.10999999999999",,"63.379999999999995","112.91999999999999","0"
Malu Paper Mills Ltd,MALUPAPER,"Paper Products","67.46933375","0","0.23999999999999977","-6.35","-2.3200000000000003","-2.24","2.47","0.08","17.25","138.18","29.49","155.43","5.489999999999998","0.01","32.54","14.8","17.06","1.74",,"7.699999999999999","0.11","0","76.00999999999999","131.71","1.705925","103.71",,"17.25","41.98","0.98","-14.610000000000001","0.44","99.17000000000002","2.8000000000000007","71.17",,"6.469999999999999","79.42",
Uniply Industries Ltd,UNIPLY,"Wood Products","67.4034106008989","4.78","-63.44999999999999","-91.32","-117.48","-117.48","-79.58","0","630.0699999999998","652.6900000000002","464.52","1282.76","134.70999999999998","133.61","282.62","488.79","33.53","6.74",,"0.6699999999999999","119.05","0","570.21","517.76","16.76474","257.86",,"630.0699999999999","25.82","0.22000000000022737","107.74999999999994","534.8","235.14","73.13000000000001","58.03000000000001",,"134.9300000000002","712.55","0"
Maharashtra Corp Ltd,MAHACORP,"Textiles","67.39599833999999","0","0.43","1.15","0.38","0.5","0.05","0.12","12","0.1799999999999998","6.49","12.18","0","-0.12","0.15","0","13.53","0.43",,,"0.8","0","8.97","0.17","14.567685641190002","0",,"12","1.55","0.009999999999999787","-1.53","2.41","0.020000000000000018","0.5","0",,"0.009999999999999787","3.21",
Sambandam Spinning Mills Ltd,SAMBANDAM,"Textiles","67.359357","0","3.34","-22.490000000000002","-23.480000000000004","22.08","27.31","45.56","115.69999999999999","204.88000000000005","36.92","320.58000000000004","69.92999999999999","-46.05","44.14","5.39","4.28","8.06","11.67",,"2.18","0","165.09","118.59","0.42864","134.28",,"115.7","103.02","4.690000000000075","106.03","9.26","74.45","17.09","144.05",,"86.29000000000006","155.49","0"
MRC Exim Ltd,MRCAGRO,"Commodities Trading","66.9542825","0","0.13000000000000012","-0.9599999999999999","-1.13","-1.13","0.75","0","12.39","2.8099999999999996","5.61","15.200000000000001","0.75","0.51","1.75","1.43","10.42","0.2","0.01",,"0.13","0","15.06","2.04","1.04209","0.75",,"12.39","0","0.009999999999999787","0.54","0","0.29000000000000004","9.25","0.01",,"0.7699999999999998","0.14",
Modulex Construction Technologies Ltd,MODULEX,"Construction & Engineering","66.9504672","0","0.20999999999999996","1.06","-4.28","-4.28","7.71","0","268.36","39.41999999999989","0","307.7799999999999","1.9299999999999997","-3.22","1.26","285.02","50.69","0.37",,,"0.76","261.2267","0.93","36.33","5.0691111","22.03",,"268.36","0","1.1599999999998862","-68.23999999999998","5.4","35.07","0.56","39.46329999999995",,"3.089999999999886","306.8499999999999","0.89"
Lactose India Ltd,LACTOSE,"Pharmaceuticals","66.7217","0","-0.23000000000000043","-4.289999999999999","7.15","8.47","-8.14","1.32","39.29","50.93","11.35","90.22","34.5","-0.56","4.04","13.09","12.59","2.08","0.5800000000000001",,"0.74","0","22.75","14.899999999999999","1.2589","41.330000000000005",,"39.29","7.12","0.95","13.61","7.52","10.86","2.2","59.21",,"36.03","67.47",
Sagar Diamonds Ltd,SAGAR,,"66.5062828","0","5.84","-22.429999999999982","9.84","13.74","-4.42","3.9","90.01000000000023","8227.289999999999","7578.1","8317.3","0.8499999999999999","-3.48","2133.34","11.83","12.64","13.21",,"0.02","0","0","8309.33","8226.390000000001","1.264378","2.4",,"90.01","681.55","0.04999999999796273","65.54","0.26","6093.050000000001","36.47","7.6899999999999995",,"0.8999999999979627","7.969999999999999",
Upsurge Investment and Finance Ltd,UPSURGE,"Diversified Financials","66.29175","0.76","2.539999999999999","-15.42","-15.22","-14.99","-0.76","0.23","37.44","1.89","0.54","39.33","0","18.29","0","6.6","15.15","11.74",,,"2.81","0","20.46","1.89","1.51524","1.72",,"37.44","8.1","0","15.69","0","1.89","0.08","0.22999999999999998","15.83","0","18.869999999999997",
Kovilpatti Lakshmi Roller Flour Mills Ltd,KLRFM,"Packaged Foods & Meats","66.0821013","0.82","0.02999999999999936","-3.8300000000000005","-17.82","12.12","14.75","29.94","48.31","75.16","16.3","123.47","23.67","-26.84","12.9","20.9","5.54","0.23","3.18",,"0.46","0","69.09","48.31","0.5541476","45.06",,"48.31","47.18","0","21.870000000000005","2.13","35.410000000000004","5.38","51.79",,"26.85","54.38",
Skil Infrastructure Ltd,SKIL,"Construction & Engineering","65.86474551","0","-0.7299999999999969","3.58","1.07","1.07","-58.76","0","-433.09999999999985","3783.9800000000005","0","3350.8800000000006","0","56.96","0","94.42","216.57","1.56",,,"3183.28","0","127.02","3703.0400000000004","21.6571232","2471.61",,"-433.09999999999997","0","80.94000000000024","-760.03","40.55","3703.0400000000004","125.46","0.030000000000001137",,"80.94000000000024","3223.8600000000006","15.94"
Moksh Ornaments Ltd,MOKSH,"Precious Metals, Jewellery & Watches","65.733567375","0","-4.739999999999998","20.3","27.81","28.22","-32.55","0.41","44.86000000000001","4.799999999999998","30.53","49.66","3.63","-0.41","0.1","10.38","10.73","2.73",,"0.01","0.05","0","49.089999999999996","0.74","5.3660055","4.09",,"44.86","15.22","0.429999999999998","23.75","0.06","0.64","0.61","0.44999999999999996",,"4.059999999999998","0.57",
Creative Castings Ltd,CREATIVE,"Metals - Iron","65.637","1.3","2.1099999999999994","-4.1","-0.19000000000000006","0.36","-1.3","0.55","31.069999999999997","5.4400000000000075","8.16","36.510000000000005","0","3.05","2","1","1.3","10.82","0.87",,"0.09","0","27.89","4.4","0.13","0",,"31.07","7.19","0.17000000000000712","28.77","2.2","2.4000000000000004","1.72","6.33",,"1.0400000000000071","8.620000000000001",
Ansal Buildwell Ltd,ANSALBU,"Real Estate","65.56324336","0.37","-12.39","34.529999999999994","55.28","60.92","-34.86","5.64","111.44","359.90999999999997","0.98","471.34999999999997","3.8000000000000007","-38.45","8.21","6.45","7.38","11.28",,"3.37","42.37","0","393.40999999999997","342","0.7383843","29.7",,"111.44","327.51","14.10999999999999","97.61","27.31","333.79","53.64","4.889999999999999",,"17.90999999999999","77.94","0"
Vivanza Biosciences Ltd,VIVANZA,"Pharmaceuticals","65.52","0","0.39","-1.5500000000000003","-0.68","-0.68","1.07","0","3.4899999999999984","9.34","7.84","12.829999999999998","2.59","0","5.48","0","4","-2.68",,,"0","1.6354315","9.719999999999999","6.739999999999999","0.4","2.77",,"3.49","2.43","0.009999999999999787","-0.51","0.79","1.259999999999999","2.13","0.6845684999999999",,"2.5999999999999996","3.11","0"
